n	tiempo
0	0
100	0
200	0
300	0
400	0
500	0.015
600	0
700	0.016
800	0.015
900	0
1000	0.016
1100	0.016
1200	0.015
1300	0.016
1400	0
1500	0.016
1600	0.046
1700	0.032
1800	0.047
1900	0.062
2000	0.016
2100	0.031
2200	0.062
2300	0.032
2400	0.047
2500	0.046
2600	0.032
2700	0.062
2800	0.047
2900	0.063
3000	0.093
3100	0.078
3200	0.063
3300	0.078
3400	0.094
3500	0.047
3600	0.109
3700	0.156
3800	0.078
3900	0.094
4000	0.094
4100	0.125
4200	0.109
4300	0.125
4400	0.157
4500	0.156
4600	0.125
4700	0.297
4800	0.156
4900	0.187
5000	0.188
5100	0.203
5200	0.281
5300	0.328
5400	0.329
5500	0.375
5600	0.375
5700	0.327
5800	0.297
5900	0.5
6000	0.359
6100	0.422
6200	0.438
6300	0.39
6400	0.344
6500	0.344
6600	0.344
6700	0.312
6800	0.329
6900	0.421
7000	0.328
7100	0.485
7200	0.484
7300	0.454
7400	0.547
7500	0.469
7600	0.453
7700	0.453
7800	0.453
7900	0.546
8000	0.438
8100	0.594
8200	0.593
8300	0.516
8400	0.578
8500	0.672
8600	0.625
8700	0.578
8800	0.844
8900	0.828
9000	0.625
9100	0.688
9200	0.984
9300	0.953
9400	0.922
9500	0.688
9600	0.781
9700	1.031
9800	0.844
9900	0.937
